"","fipscode","state","county","county_ranked","freq_mental_distress","unemployment","food_insecurity","suicides","alcohol_impaired_driving_deaths","mental_distress_level","unemployment_level"
"150","39099","OH","Mahoning County",1,17.6,10.16704842,14.9,15.277726234,33.33333333,"high","high"
"151","39101","OH","Marion County",1,18.6,7.62415728,15.1,19.38680062,30,"high","high"
"152","39103","OH","Medina County",1,15.3,7.62920602,9.3,15.493343388,36.36363636,"high","high"
"153","39105","OH","Meigs County",1,20.1,9.61199295,18.5,23.391747569,21.42857143,"high","high"
"154","39107","OH","Mercer County",1,16.9,5.37954497,9.3,9.4893516928,23.33333333,"high","normal"
"155","39109","OH","Miami County",1,17.1,6.9844728,11.7,13.737293316,26.5625,"high","normal"
"156","39111","OH","Monroe County",1,19,10.59625809,18.1,18.030638894,33.33333333,"high","high"
"157","39113","OH","Montgomery County",1,17.5,8.57466429,14.3,15.598131726,34.05017921,"high","high"
"158","39115","OH","Morgan County",1,20.4,9.25787666,17.6,12.398360928,26.31578947,"high","high"
"159","39117","OH","Morrow County",1,18.2,7.12847839,11.6,12.83504762,34.28571429,"high","high"
"160","39119","OH","Muskingum County",1,18.8,7.75458664,15,20.145754103,24.52830189,"high","high"
"161","39121","OH","Noble County",1,19,9.64347079,15.8,NA,38.46153846,"high","high"
"162","39123","OH","Ottawa County",1,16.4,9.09836461,12.6,18.679001802,29.03225806,"high","high"
"163","39125","OH","Paulding County",1,17.2,7.46812386,12.3,25.445390558,76.92307692,"high","high"
"164","39127","OH","Perry County",1,19.4,8.38919867,16.7,16.273335097,30.76923077,"high","high"
"165","39129","OH","Pickaway County",1,17.4,6.77525167,12.9,15.340677686,39.65517241,"high","normal"
"166","39131","OH","Pike County",1,20.4,9.39074668,19.1,24.746746814,16.66666667,"high","high"
"167","39133","OH","Portage County",1,16.9,7.26134549,12.7,14.874113953,34.42622951,"high","high"
"168","39135","OH","Preble County",1,17.5,6.69657615,12.2,15.078839276,18.18181818,"high","normal"
"169","39137","OH","Putnam County",1,15.8,5.61431624,9.1,11.923591623,28.57142857,"high","normal"
"170","39139","OH","Richland County",1,18,8.98688732,14,13.018118445,21.27659574,"high","high"
"171","39141","OH","Ross County",1,19.2,8.02000056,16.1,17.737723867,18.30985915,"high","high"
